id,justification,Category
15047,since the cars ahead have moved up a bit.,interaction with other road users:traffic:accelerating
3710,because no traffic is seen and the car can safely move onward.,road condition:availability:clear road
7673,because there is no traffic in that lane.,road condition:availability:clear road
15229,as it nears a car,unclassified
3836,because its lane is free of traffic.,road condition:availability:clear road
14323,since the other cars are blocking the road,interaction with other road users:lead vehicle:stop
11265,because traffic in front of it has stopped.,interaction with other road users:traffic:stop
11427,as the light is green and the road is clear.,traffic conditions:traffic light:green light&road condition:availability:clear road
849,because the car in front is stopped.,interaction with other road users:lead vehicle:stop
12593,since the light is red.,traffic conditions:traffic light:red light
14570,as it approaches slow moving vehicles in its lane.,interaction with other road users:traffic:moving forward:slowly
712,because traffic is stopped at a red light.,interaction with other road users:traffic:stop&traffic conditions:traffic light:red light
10490,so it can pass other cars.,ego car driving intention: vehicle longitudinal activity:passing
13698,because traffic is moving at a steady speed.,interaction with other road users:traffic:moving forward:normally
15098,to make another turn.,ego car driving intention: vehicle lateral activity:turning
15877,because there is a stop sign.,traffic conditions:traffic sign:stop sign
13215,because the car in front is slowing down.,interaction with other road users:lead vehicle:moving forward:slowly
11311,because the light is green.,traffic conditions:traffic light:green light
9827,as the car in the lane ahead has stopped.,interaction with other road users:lead vehicle:stop
14201,as the vehicle ahead starts moving.,interaction with other road users:traffic:moving forward:normally
15005,because it is parked.,ego car driving intention: vehicle longitudinal activity:park
4536,as there is no traffic.,road condition:availability:clear road
9696,as the road is clear.,road condition:availability:clear road
14412,while making a right turn,ego car driving intention: vehicle lateral activity:turning
9018,because there are emergency vehicles blocking the road.,interaction with other road users:pedestrians and cyclists: crossing
6834,because there are no other cars on the road.,road condition:availability:clear road
16311,since there is slight traffic.,interaction with other road users:traffic:light
961,since there is a ambulance waiting to turn left,ego car driving intention: vehicle longitudinal activity:stop
191,because the light is red.,traffic conditions:traffic light:red light
10686,as it goes around the van,ego car driving intention: vehicle longitudinal activity:passing
1535,because the light is red.,traffic conditions:traffic light:red light
7110,because there are no cars in its lane.,road condition:availability:clear road
6822,so that it can enter another road while the light is green.,ego car driving intention: vehicle lateral activity:enter another road
6404,Because the next traffic light at the upcoming intersection is red,traffic conditions:traffic light:red light
12477,to reenter the road.,unclassified
10775,because the light is red.,traffic conditions:traffic light:red light
8503,because there is less traffic in that lane.,interaction with other road users:traffic:light
5732,because no traffic is blocking the way and the car can safely move forward.,road condition:availability:clear road
100,because the stopped cars are moving forward slowly.,interaction with other road users:lead vehicle:moving forward:slowly
15619,as the lane is clear ahead.,road condition:availability:clear road
8845,because there is no traffic ahead.,road condition:availability:clear road
8126,since the car is parked.,ego car driving intention: vehicle longitudinal activity:park
11583,as there is room between it and the car in front,unclassified
10974,because it wants to pass the cars in front of it.,ego car driving intention: vehicle longitudinal activity:passing
3691,because traffic is flowing smoothly,interaction with other road users:traffic:moving forward:normally
15515,as the lane is open.,road condition:availability:clear road
8003,because the driver is passing a cop car.,ego car driving intention: vehicle longitudinal activity:passing
1789,because the light is red.,traffic conditions:traffic light:red light
12305,because traffic ahead picks up speed.,interaction with other road users:traffic:accelerating
12063,as traffic ahead is barely moving at all.,interaction with other road users:traffic:moving forward:slowly
11015,there are no other cars ahead of it and the lights are all green.,traffic conditions:traffic light:green light&road condition:availability:clear road
16313,so it can avoid hitting the objects.,unclassified
11618,as it enters the cross street,unclassified
12374,because it's driving close to a pedestrian.,interaction with other road users:pedestrians and cyclists: crossing
1743,because traffic is stopped ahead,interaction with other road users:traffic:stop
4009,Because the traffic light is red and there are cars stopped in front of it.,interaction with other road users:traffic:stop&traffic conditions:traffic light:red light
11305,as the crosswalk is practically empty of people.,road condition:availability:clear road
3617,for the stop sign ahead.,traffic conditions:traffic sign:stop sign
7444,as the light turns yellow because it needs to enter another road.,ego car driving intention: vehicle lateral activity:enter another road
13964,as it approaches traffic stopped at a red light,traffic conditions:traffic light:red light
4821,"As the driver slows down in preparation of crossing a speed bump, and while crossing over said speed bump.",road condition:speed regulations:speed bump
7541,for the red light.,traffic conditions:traffic light:red light
11124,because traffic is speeding up again.,interaction with other road users:traffic:accelerating
15677,because there is no traffic.,road condition:availability:clear road
4254,because no traffic is blocking the way and the car can safely move forward.,road condition:availability:clear road
10777,while continuing down the road,ego car driving intention: vehicle longitudinal activity:driving forward
1160,in order to proceed through the light.,unclassified
10276,as traffic on the street is moving normally.,interaction with other road users:traffic:moving forward:normally
15828,because a car is slowing in the left lane.,ego car driving intention: vehicle lateral activity:decelerating
8367,as it approaches a stop sign.,traffic conditions:traffic sign:stop sign
10150,because the car in front has pulled forward a little.,interaction with other road users:lead vehicle:moving forward:slowly
5442,as it is picking up a pedestrian passenger.,interaction with other road users:pedestrians and cyclists:pedestrian crossing
740,The car has arrived at an intersection with a red light.,traffic conditions:traffic light:red light
1740,because the light is red.,traffic conditions:traffic light:red light
1482,because traffic is moving smoothly.,interaction with other road users:traffic:moving forward:normally
8736,as it waits for the other cars to begin moving after the light turned green.,traffic conditions:traffic light:green light
13567,because the road ahead is clear.,road condition:availability:clear road
3269,because traffic is moving at a steady pace.,interaction with other road users:traffic:moving forward:normally
14195,as it runs a stop sign,traffic conditions:traffic sign:stop sign
2175,The car has negotiated the intersection and is moving down the road.,ego car driving intention: vehicle longitudinal activity:driving forward
2479,because there is a stop sign.,traffic conditions:traffic sign:stop sign
9924,because the path is clear and there are no traffic jams.,road condition:availability:clear road
12388,because traffic is moving at a steady speed.,interaction with other road users:traffic:moving forward:normally
4060,because the light is red.,traffic conditions:traffic light:red light
838,because it hasn't noticed the light has changed to green.,traffic conditions:traffic light:green light
8891,because the light turns green.,traffic conditions:traffic light:green light
13208,because the traffic light ahead is red,traffic conditions:traffic light:red light
12049,because the street is clear.,road condition:availability:clear road
2371,because traffic is at a near standstill.,No Label
1142,to change streets,ego car driving intention: vehicle lateral activity:changing lane
15592,because the light is red.,traffic conditions:traffic light:red light
3141,because there is a pedestrian crossing the road.,interaction with other road users:pedestrians and cyclists: crossing&interaction with other road users:pedestrians and cyclists:pedestrian crossing
13147,because that's where the driver wants to be.,unclassified
2853,because the traffic light is going to turn red before it gets to the intersection.,traffic conditions:traffic light:red light
7633,to get back to the street since it has no traction to get into the parking spot,unclassified
256,to change streets,ego car driving intention: vehicle lateral activity:changing lane
3774,to close the gap between it and the car in front of it.,unclassified
6103,because no other cars are on the same road in the rain.,road condition:availability:clear road
13176,as the lane is clear ahead.,road condition:availability:clear road
6169,so that it may enter another road.,ego car driving intention: vehicle lateral activity:enter another road
3600,because the car in front of it has stopped.,interaction with other road users:lead vehicle:stop
2951,To merge into the left lane.,ego car driving intention: vehicle longitudinal activity:merging
7704,to maintain speed limit on the highway,No Label
10605,as the light turns green and the road is clear.,road condition:availability:clear road&traffic conditions:traffic light:green light
881,to prepare to reverse.,unclassified
8757,as the car in front of it has stopped.,interaction with other road users:lead vehicle:stop
539,because there are pedestrians and parked cars.,interaction with other road users:pedestrians and cyclists: crossing
3609,because the light is red.,traffic conditions:traffic light:red light
4241,because traffic has stopped.,interaction with other road users:traffic:stop
5869,as the other car drives away and the people move off to the side.,interaction with other road users:pedestrians and cyclists: crossing
13581,as the lane is clear ahead.,road condition:availability:clear road
686,because the car in front of it is stopped.,interaction with other road users:lead vehicle:stop
4920,because it is going to turn right at an intersection.,ego car driving intention: vehicle lateral activity:turning
12542,The camera is removed,unclassified
4270,because no traffic is coming and can safely move forward.,road condition:availability:clear road
12400,while it follows the truck down the road,ego car driving intention: vehicle longitudinal activity:driving forward
11541,as it gets onto another road,ego car driving intention: vehicle lateral activity:enter another road&unclassified
13272,because there are pedestrians impeding a quicker advance.,interaction with other road users:pedestrians and cyclists: crossing
3258,because traffic is moving freely.,interaction with other road users:traffic:moving forward:normally
9000,because there is a stop sign and cross traffic.,traffic conditions:traffic sign:stop sign
13158,to pass a slow moving bus.,interaction with other road users:lead vehicle:moving forward:slowly&ego car driving intention: vehicle longitudinal activity:passing
9026,There are no obstructions ahead of the car.,road condition:availability:clear road
12193,as it approaches an intersection,unclassified
155,The car has passed the bus and is moving through the intersection,ego car driving intention: vehicle longitudinal activity:passing
11958,because the light ahead turns red.,traffic conditions:traffic light:red light
10724,as it approaches a stop sign.,traffic conditions:traffic sign:stop sign
226,because the road is clear.,road condition:availability:clear road
14755,since the lane ahead is clear.,road condition:availability:clear road
16296,because the light is green and the intersection is clear.,traffic conditions:traffic light:green light&road condition:availability:clear road
5961,because the street is clear.,road condition:availability:clear road
13007,because the vehicle in front of it brakes.,interaction with other road users:traffic:decelerating
4437,since there is a stop sign,traffic conditions:traffic sign:stop sign
3495,Because the car is parking.,ego car driving intention: vehicle longitudinal activity:park
6500,because the light is red.,traffic conditions:traffic light:red light
6910,because there is traffic blocking the road.,interaction with other road users:traffic:heavy
11462,because it is moving.,unclassified
2102,to go over a bump,road condition:speed regulations:speed bump
13446,because there is an open parking space.,unclassified
16272,because the driver wants to make a u-turn and is waiting for traffic to clear.,ego car driving intention: vehicle longitudinal activity:stop
16238,since the lane ahead is clear.,road condition:availability:clear road
8749,because its current lane is a left turn lane and it has passed the slower vehicle in the lane to its right.,ego car driving intention: vehicle lateral activity:turning
14909,since the traffic is light and moving quickly.,interaction with other road users:traffic:moving forward:fast
3970,because the light changed to green.,traffic conditions:traffic light:green light
5522,so that they can pass the car without getting hit.,ego car driving intention: vehicle longitudinal activity:passing
10727,because the street is clear.,road condition:availability:clear road
9967,as the light is red.,traffic conditions:traffic light:red light
11546,as the road is clear.,road condition:availability:clear road
8423,as it follows a curve in the road after the traffic light turned green.,traffic conditions:traffic light:green light
10653,because cars are stopped at a red light,traffic conditions:traffic light:red light
7314,because there is no traffic nearby in its lane.,road condition:availability:clear road
16323,because the light is green and the road is clear.,traffic conditions:traffic light:green light&road condition:availability:clear road
9771,as the street is clear.,road condition:availability:clear road
6815,because the street is clear.,road condition:availability:clear road
12143,because it's getting ready to turn.,ego car driving intention: vehicle lateral activity:turning
1728,because the light is green.,traffic conditions:traffic light:green light
2415,as there is no traffic in front of it.,road condition:availability:clear road
5432,because it is at a stop sign.,traffic conditions:traffic sign:stop sign
12618,as traffic ahead has slowed.,interaction with other road users:traffic:moving forward:slowly
15181,because there is a parked car on the right side.,interaction with other road users:lead vehicle:park
8602,because the light is green and traffic is accelerating.,interaction with other road users:traffic:accelerating
10740,because it's going to make a turn down the road.,ego car driving intention: vehicle lateral activity:turning
4941,as the light is red.,traffic conditions:traffic light:red light
2311,to make a right turn.,ego car driving intention: vehicle lateral activity:turning
144,because traffic is moving smoothly.,interaction with other road users:traffic:moving forward:normally
1095,because traffic is flowing freely.,interaction with other road users:traffic:moving forward:normally
3714,Because there is a car parked ahead of it in the middle of the street with its hazard lights on blocking the lane.,interaction with other road users:lead vehicle:park
57,because traffic is going slowly.,interaction with other road users:traffic:moving forward:slowly
8514,as there is a slow moving vehicle in front of it.,interaction with other road users:lead vehicle:moving forward:slowly&interaction with other road users:traffic:moving forward:slowly
1786,because the light is red.,traffic conditions:traffic light:red light
7108,because there are no cars near it.,road condition:availability:clear road
15715,because it has gotten around the backed up traffic.,ego car driving intention: vehicle longitudinal activity:passing
15394,because it is parked at the curb.,ego car driving intention: vehicle longitudinal activity:park
12167,because it is now on the side of the road,unclassified
12111,because traffic is moving at a steady speed.,interaction with other road users:traffic:moving forward:normally
3089,There are no obstructions ahead of the car.,road condition:availability:clear road
13715,because it is positioning to park.,ego car driving intention: vehicle longitudinal activity:park
15848,as cars make their way through the light.,No Label
315,because the traffic light is red and cross-traffic is heavy.,traffic conditions:traffic light:red light
3649,as there is no traffic on the road.,road condition:availability:clear road
1576,because oncoming traffic passed a car.,ego car driving intention: vehicle longitudinal activity:passing
12375,because traffic is clear.,interaction with other road users:traffic:light&road condition:availability:clear road
2035,as to get around the car in front that is stopped to turn.,ego car driving intention: vehicle lateral activity:turning&interaction with other road users:lead vehicle:stop
13088,because it is at a red light.,traffic conditions:traffic light:red light
15063,because there is a one way road and there are no vehicles up ahead.,road condition:availability:clear road
6930,because the lane ahead is clear and traffic is moving.,road condition:availability:clear road&interaction with other road users:traffic:moving forward:normally
3285,due to the red light.,traffic conditions:traffic light:red light
12309,because the light turns green and traffic is moving.,interaction with other road users:traffic:moving forward:normally&traffic conditions:traffic light:green light
9909,because the car is moving around other cars to get into an empty lane going to the toll booth.,ego car driving intention: vehicle longitudinal activity:passing
383,to turn left.,ego car driving intention: vehicle lateral activity:turning
10940,as the light ahead is red.,traffic conditions:traffic light:red light
514,because traffic is stopped.,interaction with other road users:traffic:stop
6888,as the light is red.,traffic conditions:traffic light:red light
6940,to enter another road after the pedestrians have moved to the far ride of the street.,ego car driving intention: vehicle lateral activity:enter another road
1550,after cross traffic clears.,No Label
16381,at a red light.,traffic conditions:traffic light:red light
2129,to change lanes.,ego car driving intention: vehicle lateral activity:changing lane
11166,because the street is empty.,road condition:availability:clear road
3078,The car is approaching an intersection with a red light.,traffic conditions:traffic light:red light
11588,because the car in front is moving slowly.,interaction with other road users:lead vehicle:moving forward:slowly
6732,since the road is clear.,road condition:availability:clear road
12478,because there are no other cars on the road.,road condition:availability:clear road
10161,as the road ahead is clear and traffic is moving.,road condition:availability:clear road&interaction with other road users:traffic:moving forward:normally
4753,because no traffic is blocking the way and the car can safely move forward.,road condition:availability:clear road
3960,as the car in front stops while waiting to turn.,interaction with other road users:lead vehicle:stop
1359,due to a red light.,traffic conditions:traffic light:red light
9667,because there is no traffic,road condition:availability:clear road
13372,as it approaches a stop sign.,traffic conditions:traffic sign:stop sign
4409,because the road is blocked by a parked car ahead of it.,interaction with other road users:lead vehicle:stop
12998,because the driver may have overturned in the rain.,No Label
833,because the way is clear,road condition:availability:clear road
11312,because traffic is moving at a steady speed.,interaction with other road users:traffic:moving forward:normally
3081,to change streets,ego car driving intention: vehicle lateral activity:changing lane
10661,as traffic ahead has stopped moving.,interaction with other road users:traffic:stop
10948,because the street is clear.,road condition:availability:clear road
1684,because traffic is stopped.,interaction with other road users:traffic:stop
7800,to get around the box in its lane.,ego car driving intention: vehicle longitudinal activity:passing
9112,because there is a taxi that is stopped in front.,interaction with other road users:lead vehicle:stop
3130,when the car in front of it stops.,interaction with other road users:lead vehicle:stop
13892,because the road is clear.,road condition:availability:clear road
8030,because the SUV in front has braked suddenly,interaction with other road users:lead vehicle:stop
2282,because the light is red.,traffic conditions:traffic light:red light
15748,because there is a bump in the road.,road condition:speed regulations:speed bump
2078,because the light is red.,traffic conditions:traffic light:red light
16259,as it sits on the side of the road,unclassified
1657,due to slow traffic in front of it.,interaction with other road users:traffic:moving forward:slowly
15389,since traffic ahead begins to move forward.,interaction with other road users:traffic:moving forward:normally
14000,because the cars on either side have started moving forward,interaction with other road users:traffic:moving forward:normally&interaction with other road users:lead vehicle:moving forward:normally
7791,because traffic is moving forward while the light is green.,interaction with other road users:lead vehicle:moving forward:normally&traffic conditions:traffic light:green light
5795,to avoid a vehicle that turned into its lane.,unclassified
3085,The vehicle ahead of the car is moving through the intersection.,interaction with other road users:lead vehicle:moving forward:normally
6773,because traffic in front of it is driving at a normal rate of speed.,interaction with other road users:traffic:moving forward:normally
422,because traffic is stopped.,interaction with other road users:traffic:stop
3413,since the road curves to the right,unclassified
4926,because no traffic is blocking the way and the car can safely move forward.,road condition:availability:clear road
1002,due to traffic in front of it being stopped.,interaction with other road users:traffic:stop
9611,because the traffic light ahead turns red.,traffic conditions:traffic light:red light
13980,since traffic is clear,interaction with other road users:traffic:light&road condition:availability:clear road
14200,because there are stopped vehicles blocking its path.,interaction with other road users:lead vehicle:stop
5334,because there is no traffic on the street.,road condition:availability:clear road
10813,because it is maintaining distance with the car in front.,unclassified
13604,because it is parking on the side of the road.,ego car driving intention: vehicle longitudinal activity:park
15529,because the light turns red.,traffic conditions:traffic light:red light
15613,because traffic is flowing.,interaction with other road users:traffic:moving forward:normally
13410,because traffic is moving at a steady pace.,interaction with other road users:traffic:moving forward:normally
8653,because a car is partially blocking the lane backing out.,interaction with other road users:lead vehicle:stop
13247,because the road itself curved to the left.,unclassified
6505,"because there's a ""stop"" line painted on the ground.",traffic conditions:traffic sign:stop sign
7988,because the lane is clear.,road condition:availability:clear road
14198,while running another stop sign,traffic conditions:traffic sign:stop sign
14219,as it is nears the stopped cars,interaction with other road users:lead vehicle:stop
11999,because traffic is moving at a steady speed.,interaction with other road users:traffic:moving forward:normally
9612,as the light is green and the intersection is clear.,traffic conditions:traffic light:green light&road condition:availability:clear road
3190,because the light is red,traffic conditions:traffic light:red light
10365,to get into another lane,unclassified
11882,because the road ahead is clear.,road condition:availability:clear road
10691,Because the traffic light at the intersection just after the left turn it came out of is red.,traffic conditions:traffic light:red light
3586,Because traffic in front of it is moving normally,interaction with other road users:traffic:moving forward:normally
177,since the traffic is clear,road condition:availability:clear road
12339,because it's making a left turn.,ego car driving intention: vehicle lateral activity:turning
15824,because there is other traffic and the car is in the slow lane.,No Label
9161,because the road is clear.,road condition:availability:clear road
16010,as it turns a corner,ego car driving intention: vehicle lateral activity:turning
13839,because the car in front pulled forward slightly.,interaction with other road users:lead vehicle:moving forward:slowly
7493,because traffic is moving forward steadily.,interaction with other road users:traffic:moving forward:normally
10776,as it rounds a curve,unclassified
64,as it has no cars.,road condition:availability:clear road
5601,because no traffic is blocking the way and the car can safely move forward.,road condition:availability:clear road
4738,because the light turns green.,traffic conditions:traffic light:green light
9843,because it's waiting for another car to cross the intersection,ego car driving intention: vehicle longitudinal activity:stop
2811,because there is a stop sign.,traffic conditions:traffic sign:stop sign
2940,The traffic ahead of the car is moving forward.,interaction with other road users:traffic:moving forward:normally
3854,to prepare for a right turn.,ego car driving intention: vehicle lateral activity:turning
15745,because it is preparing for a left turn.,ego car driving intention: vehicle lateral activity:turning
14160,while on the side of the road,unclassified
758,because the car in the left lane is moving slow.,unclassified
14383,as it moves back to the left,unclassified
7546,so that it may enter another road while there is no nearby traffic.,ego car driving intention: vehicle lateral activity:enter another road
3117,to merge into a faster moving lane.,ego car driving intention: vehicle longitudinal activity:merging
15335,as the light turns green and traffic starts moving.,traffic conditions:traffic light:green light
5052,because the traffic is moving steadily.,interaction with other road users:traffic:moving forward:normally
1041,because traffic is moving.,interaction with other road users:traffic:moving forward:normally
9807,because the light turns green.,traffic conditions:traffic light:green light
6735,because it is parallel parking behind a van.,ego car driving intention: vehicle longitudinal activity:park
3768,as the light is red.,traffic conditions:traffic light:red light
271,as the light is red.,traffic conditions:traffic light:red light
3035,to get around a car that is partially in its lane and stopped.,interaction with other road users:lead vehicle:stop&ego car driving intention: vehicle longitudinal activity:passing
9603,because the car in front has started to move forward.,interaction with other road users:lead vehicle:moving forward:normally
14990,because it was able to move around the oncoming car to complete the turn.,ego car driving intention: vehicle lateral activity:turning
557,because the light is red.,traffic conditions:traffic light:red light
6211,because the light is green.,traffic conditions:traffic light:green light
6499,because the car is parked on the right side of the street.,ego car driving intention: vehicle longitudinal activity:park
5082,as the car in front of it accelerates after the light turned green.,traffic conditions:traffic light:green light
6003,because there is a stop sign.,traffic conditions:traffic sign:stop sign
14015,because the car in front is moving slowly.,interaction with other road users:lead vehicle:moving forward:slowly
15354,as it approaches an intersection.,unclassified
15958,as the road is clear.,road condition:availability:clear road
9055,as the car in front of it begins to move forward.,interaction with other road users:lead vehicle:moving forward:normally
