id,Justification,Category
537,because traffic is moving normally.,interaction with other road users:lead vehicle:moving forward:normally
721,because the light has turned red.,traffic conditions:traffic light:red light
1577,to pass traffic in the right lane.,ego car driving intention:vehicle longitudinal activity:passing
811,since there's a red light ahead.,traffic conditions:traffic light:red light
1056,since the light turned green.,traffic conditions:traffic light:green light
919,because the car has merged and there is less congestion.,ego car driving intention:vehicle longitudinal activity:merging
1633,since the light is green and the road is clear to turn.,traffic conditions:traffic light:green light&road condition:availability:clear road
1858,since the light is green and the road is clear to turn.,traffic conditions:traffic light:green light&road condition:availability:clear road
1858,The car has returned to the middle lane and is proceeding down the roadway,ego car driving intention:vehicle lateral activity:turning
1233,since the red light doesn't allow for the car to go forward.,traffic conditions:traffic light:red light
1749,since traffic on the road is moving slowly.,interaction with other road users:traffic:moving forward:slowly
1519,because a car in front is parking,interaction with other road users:lead vehicle:park
266,because a car in front is parking,interaction with other road users:lead vehicle:park
266,because the lights are green,traffic conditions:traffic light:green light
1351,to enter another road.,ego car driving intention:vehicle lateral activity:enter another road
1950,as it approaches slow moving traffic in the lane ahead.,interaction with other road users:traffic:moving forward:slowly
1515,as it drives through a parking lot.,unclassified
1539,since there is a car to the left.,unclassified
251,because there is no nearby traffic after it passed a vehicle in that lane.,road condition:availability:clear road
1684,to maneuver around a car parked on the right side of the road.,ego car driving intention:vehicle longitudinal activity:passing&interaction with other road users:lead vehicle:park
2077,since the people are out of the way.,road condition:availability:clear road
1444,because there are no cars ahead and the lights are green.,road condition:availability:clear road&traffic conditions:traffic light:green light
86,because there is little traffic.,interaction with other road users:traffic:light
819,Traffic ahead is stopping at an intersection,interaction with other road users:traffic:stop
174,because traffic is slowly proceeding through a green light with a cyclist present in the intersection.,traffic conditions:traffic light:green light
365,because traffic is flowing smoothly,interaction with other road users:traffic:moving forward:normally
890,at a red light.,traffic conditions:traffic light:red light
993,because it is parked.,ego car driving intention:vehicle longitudinal activity:park
455,because the light at the intersection is red.,traffic conditions:traffic light:red light
1184,because there are no nearby cars in its lane impeding it.,road condition:availability:clear road
9,The car has completed its left hand turn.,ego car driving intention:vehicle lateral activity:turning
720,The car has arrived at a stop sign,interaction with other road users:traffic:stop
211,for a stop.,ego car driving intention:vehicle longitudinal activity:stop
113,The car is moving through an intersection and allowing traffic ahead to negotiate the intersection,unclassified
610,because it is not stopping yet.,ego car driving intention:vehicle lateral activity:decelerating
112,for a speed bump.,road condition:speed regulations:speed bump
1540,since the cars are moving once more.,unclassified
681,The car is approaching an intersection controlled by a red light.,traffic conditions:traffic light:red light
1265,because there is no traffic.,road condition:availability:clear road
1334,The car is proceeding down the roadway with no obstructions ahead.,road condition:availability:clear road
2122,Traffic ahead of the car is stopped at an intersection.,interaction with other road users:traffic:stop
62,to enter another road.,ego car driving intention:vehicle lateral activity:enter another road
763,because it is parking.,ego car driving intention:vehicle longitudinal activity:park
795,The car has arrived at an intersection with a red light,traffic conditions:traffic light:red light
518,as the cars in front of it accelerate at the green light.,traffic conditions:traffic light:green light
1832,because the light ahead is red and it's going over a speed bump.,traffic conditions:traffic light:red light&road condition:speed regulations:speed bump
1405,The car is approaching an intersection and the light controlling the intersection has turned red.,traffic conditions:traffic light:red light
825,The car is moving down the roadway,ego car driving intention:vehicle longitudinal activity:driving forward
210,because traffic in front of it is moving forward.,interaction with other road users:traffic:moving forward:normally
1627,The car is driving down the roadway in the middle lane.,ego car driving intention:vehicle longitudinal activity:driving forward
2112,because the light turns red.,traffic conditions:traffic light:red light
1526,because the light is green and there is no nearby traffic in its lane.,traffic conditions:traffic light:green light&road condition:availability:clear road
1685,Traffic ahead of the car is travelling more evenly,interaction with other road users:traffic:moving forward:normally
59,The car has arrived at an intersection controlled by a stop sign,traffic conditions:traffic sign:stop sign
142,as it enters a turn lane,ego car driving intention:vehicle lateral activity:enter another road
1543,after the stopped car moves out of its lane.,interaction with other road users:lead vehicle:stop
1568,so that it can wait for oncoming traffic to clear before making a left hand turn.,ego car driving intention:vehicle longitudinal activity:stop
1243,to enter a road that is free of nearby traffic.,ego car driving intention:vehicle lateral activity:enter another road
1836,to try and pass the car in the right lane.,ego car driving intention:vehicle longitudinal activity:passing
1846,The car has transited the intersection and is proceeding forward down the roadway.,ego car driving intention:vehicle longitudinal activity:driving forward
976,because the lane is empty.,road condition:availability:clear road
1180,as it gets centered in the lane,unclassified
429,for the red light.,traffic conditions:traffic light:red light
878,since there was a stopped vehicle in the way.,interaction with other road users:lead vehicle:stop
241,to avoid a car parked on the left side of the road.,interaction with other road users:lead vehicle:park
1565,because it is exiting the highway.,road condition:availability:exit
821,since it had to wait for people to cross the road.,road condition:availability:clear road
1225,to enter another road.,ego car driving intention:vehicle lateral activity:enter another road
1890,because the road curves that way,unclassified
1128,The car is changing lanes to enter a left turn lane at an upcoming intersection,ego car driving intention:vehicle lateral activity:changing lane
1852,because it is pulled over to the curb.,ego car driving intention:vehicle longitudinal activity:park
1642,The car has moved through the intersection and is proceeding down the roadway.,ego car driving intention:vehicle longitudinal activity:driving forward
1009,Traffic ahead of the car is stopped at an intersection,interaction with other road users:traffic:stop
612,after the vehicle has cleared the intersection.,road condition:availability:clear road
1650,The car is moving through the intersection.,ego car driving intention:vehicle longitudinal activity:driving forward
1408,since it's not turning anymore.,unclassified
1445,because there are no other cars on the road.,road condition:availability:clear road
347,since there were no oncoming cars.,road condition:availability:clear road
848,The car is making a right hand turn through an intersection and is slowing to allow pedestrians to clear the intersection.,ego car driving intention:vehicle lateral activity:turning&ego car driving intention:vehicle lateral activity:decelerating&interaction with other road users:pedestrians:crossing
1167,The car is making a right hand turn through an intersection and is slowing to allow pedestrians to clear the intersection.,ego car driving intention:vehicle lateral activity:turning&ego car driving intention:vehicle lateral activity:decelerating&interaction with other road users:pedestrians:crossing
1167,because there is no nearby traffic in its lane.,road condition:availability:clear road
546,because the lanes are clear but the light ahead is red.,road condition:availability:clear road&traffic conditions:traffic light:red light
1402,because the lanes are clear but the light ahead is red.,road condition:availability:clear road&traffic conditions:traffic light:red light
1402,The car is approaching an intersection and the light controlling the intersection has turned yellow.,unclassified
1804,for a red light.,traffic conditions:traffic light:red light
398,The car is changing lanes to the rightmost lane.,ego car driving intention:vehicle lateral activity:changing lane
1230,"Traffic ahead of the car is accelerating, allowing the car to proceed.",interaction with other road users:traffic:accelerating
1638,The car has completed its turn and is driving down the roadway.,ego car driving intention:vehicle lateral activity:turning&ego car driving intention:vehicle longitudinal activity:driving forward
752,because the road is clear.,road condition:availability:clear road
1808,because it has completed the turn,ego car driving intention:vehicle lateral activity:turning
1479,The car is driving down the road and approaching a merge with lanes to the left.,ego car driving intention:vehicle longitudinal activity:driving forward&ego car driving intention:vehicle longitudinal activity:merging
2093,since it has just turned left.,ego car driving intention:vehicle lateral activity:turning
849,since the red light turned green.,traffic conditions:traffic light:green light
1057,since the red light turned green.,traffic conditions:traffic light:green light
1057,The car is approaching stopped traffic at an intersection controlled by a red light.,traffic conditions:traffic light:red light
846,since the street is clear of traffic.,road condition:availability:clear road
45,as it sits at a red light,traffic conditions:traffic light:red light
1305,The car appears to be double parked in the roadway.,ego car driving intention:vehicle longitudinal activity:park
1604,as other cars begin to move,interaction with other road users:traffic:accelerating
1956,because the lane ahead is clear and traffic is moving normally.,road condition:availability:clear road&interaction with other road users:traffic:moving forward:normally
881,"The light has turned green, allowing the car to make a right hand U-Turn through the intersection.",traffic conditions:traffic light:green light
1063,as the light is red and pedestrians are crossing the street.,traffic conditions:traffic light:red light&interaction with other road users:pedestrians:crossing
1529,as the light is red and pedestrians are crossing the street.,traffic conditions:traffic light:red light&interaction with other road users:pedestrians:crossing
1529,because the light turns green and the other car turns right .,traffic conditions:traffic light:green light
886,because the traffic starts moving because the light in the distance turns green.,traffic conditions:traffic light:green light
1088,since the truck in front wasn't moving fast.,interaction with other road users:lead vehicle:moving forward:slowly
567,because traffic in the left lane is flowing.,interaction with other road users:traffic:moving forward:normally
1512,since there are speed bumps here.,road condition:speed regulations:speed bump
926,since the car is about to stop.,ego car driving intention:vehicle longitudinal activity:stop
1820,as it slows down,ego car driving intention:vehicle lateral activity:decelerating
790,because traffic is moving at a steady speed.,interaction with other road users:traffic:moving forward:normally
154,because the traffic is moving slowly as well.,interaction with other road users:traffic:moving forward:slowly
493,as traffic in front of it moves forward slowly.,interaction with other road users:lead vehicle:moving forward:slowly
1907,since there is a red ahead.,traffic conditions:traffic light:red light
1594,as it is approaching a red light and the lane to the left is clear.,traffic conditions:traffic light:red light
117,as it is approaching a red light and the lane to the left is clear.,traffic conditions:traffic light:red light
92,The car is slowing and steering around a vehicle that is partially entering the lane the car is traveling in from the right.,ego car driving intention:vehicle lateral activity:decelerating&ego car driving intention:vehicle longitudinal activity:passing
2028,because there is a speed bump,road condition:speed regulations:speed bump
1652,because it is at a crowded gas station.,unclassified
445,Traffic ahead of the car has come to a stop.,interaction with other road users:traffic:stop
639,because the light at the intersection is red.,traffic conditions:traffic light:red light
1006,Traffic ahead of the car is coming to a stop.,interaction with other road users:traffic:stop
894,since there is a red light.,traffic conditions:traffic light:red light
1415,because traffic is not moving.,interaction with other road users:traffic:stop
979,because the merging car is out of the way and traffic continues to flow.,interaction with other road users:traffic:moving forward:normally
867,because there is no cross traffic or vehicles in its lane.,road condition:availability:clear road
1758,because the middle lane was available to switch into.,unclassified
450,as it approaches slow moving traffic in the lane ahead.,interaction with other road users:traffic:moving forward:slowly
2076,because there are no nearby cars in its lane.,road condition:availability:clear road
1447,because traffic is stopped.,interaction with other road users:traffic:stop
1870,because the stoplight is red,traffic conditions:traffic light:red light
148,The car is making a left hand turn through the T intersection as traffic has cleared to allow safe turning through the intersection.,ego car driving intention:vehicle lateral activity:turning
1267,The car is anticipating the light will change and allow it to proceed.,unclassified
1350,because the light is red.,traffic conditions:traffic light:red light
678,because there are other cars driving as well.,unclassified
1022,since the light is turning green.,traffic conditions:traffic light:green light
2118,The car is making a right hand turn and is slowing to avoid colliding with a stopped vehicle.,ego car driving intention:vehicle lateral activity:turning&interaction with other road users:lead vehicle:stop
820,because the left lane will be exiting the highway.,road condition:availability:exit
736,since the light is red.,traffic conditions:traffic light:red light
1371,because the light is green but a truck is blocking the street ahead.,traffic conditions:traffic light:green light&interaction with other road users:lead vehicle:stop
887,because the light is green.,traffic conditions:traffic light:green light
1961,because it is approaching a busy intersection with stop signs.,traffic conditions:traffic sign:stop sign
214,The car has moved through the intersection and is travelling down the roadway,ego car driving intention:vehicle longitudinal activity:driving forward
652,because traffic is backed up across the highway.,interaction with other road users:traffic:heavy
1027,because there are no other cars on the road.,road condition:availability:clear road
959,since it's not moving along with the car.,unclassified
79,because there is a gap between it and the vehicle in front of it.,unclassified
7,as it prepares to make a left hand turn.,ego car driving intention:vehicle lateral activity:turning
2044,now that the obstacles are behind.,unclassified
748,The traffic ahead of the car is stopped at an intersection controlled by a red light.,interaction with other road users:traffic:stop&traffic conditions:traffic light:red light
570,because the road is wide enough to continue around stopped cars without issue.,ego car driving intention:vehicle longitudinal activity:passing
1085,because the light is green and the route is clear.,traffic conditions:traffic light:green light&road condition:availability:clear road
1085,because the light is green and the route is clear.,traffic conditions:traffic light:green light&road condition:availability:clear road
683,since there is a red right up ahead.,traffic conditions:traffic light:red light
1352,to get around a double parked car.,ego car driving intention:vehicle longitudinal activity:park
1013,because the light is green and the intersection is clear.,traffic conditions:traffic light:green light&road condition:availability:clear road
1013,because the light is green and the intersection is clear.,traffic conditions:traffic light:green light&road condition:availability:clear road
209,The car briefly stopped for the stop sign,traffic conditions:traffic sign:stop sign
1593,since the traffic is moving along.,interaction with other road users:traffic:moving forward:normally
1995,The car is parked and is being cleaned.,ego car driving intention:vehicle longitudinal activity:park
1482,Traffic ahead of the car is coming to a stop.,interaction with other road users:traffic:stop
1821,since there are people nearby.,road condition:availability:clear road
1736,to drive over something in the road.,ego car driving intention:vehicle longitudinal activity:passing
1723,because there are no other cars on the road.,road condition:availability:clear road
1297,because the car turned right.,ego car driving intention:vehicle lateral activity:turning
351,because there is some space in the next lane.,unclassified
52,The car is driving forward in the right hand lane,ego car driving intention:vehicle longitudinal activity:driving forward
1707,because it's about to stop.,ego car driving intention:vehicle longitudinal activity:stop
2074,because there are no other cars on the road.,road condition:availability:clear road
732,Traffic ahead of the car is proceeding allowing the car to move forward.,interaction with other road users:lead vehicle:moving forward:normally
1837,because there is no nearby traffic.,road condition:availability:clear road
1787,The car has arrived at the intersection and the light is red.,traffic conditions:traffic light:red light
753,The car is arriving at an intersection controlled by a red light.,traffic conditions:traffic light:red light
779,since the traffic is very heavy and slow.,interaction with other road users:traffic:heavy
1040,while it waits for traffic in front of it to move at a green light.,traffic conditions:traffic light:green light
1149,since the traffic is also moving slowly.,interaction with other road users:traffic:moving forward:slowly
1891,because traffic in front of it is moving normally.,interaction with other road users:traffic:moving forward:normally
101,as it approaches slower moving traffic in front of it.,interaction with other road users:traffic:moving forward:slowly
260,because traffic is moving now.,interaction with other road users:lead vehicle:moving forward:normally
468,because there are no nearby cars impeding its lane of traffic.,road condition:availability:clear road
290,since it slowed down to turn.,ego car driving intention:vehicle lateral activity:decelerating
1608,"The car cannot proceed forward, and is stopped in the roadway.",ego car driving intention:vehicle longitudinal activity:stop
921,in traffic at a red light.,traffic conditions:traffic light:red light
665,since the car is about to turn right.,ego car driving intention:vehicle lateral activity:turning
574,Traffic ahead of the car is stopped at an intersection controlled by a red light.,interaction with other road users:traffic:stop&traffic conditions:traffic light:red light
185,since there is a stop ahead.,interaction with other road users:traffic:stop
1382,as it turns into the gas pumps,ego car driving intention:vehicle lateral activity:turning
93,The car is approaching an intersection with a stop sign,traffic conditions:traffic sign:stop sign
536,because the lane is free.,road condition:availability:clear road
477,after the light turned green.,traffic conditions:traffic light:green light
1406,because the car ahead is moving forward.,interaction with other road users:lead vehicle:moving forward:normally
200,The car has completed its turn and is driving in the left hand lane,ego car driving intention:vehicle lateral activity:turning
177,Traffic ahead of the car is moving through the intersection ahead.,interaction with other road users:lead vehicle:moving forward:normally
1647,to avoid a vehicle parked on the right side of the road.,interaction with other road users:lead vehicle:park
299,"The vehicle that drifted into the lane ahead of the car has accelerated, allowing the car to proceed.",unclassified
2110,as it approaches a red light at an intersection.,traffic conditions:traffic light:red light
1597,since it needs to maneuver around cars and people.,ego car driving intention:vehicle longitudinal activity:passing
2001,The car is approaching a stop sign controlling an on ramp,traffic conditions:traffic sign:stop sign
1884,The car is making a right hand turn through the intersection.,ego car driving intention:vehicle lateral activity:turning
1304,while it begins to stop,ego car driving intention:vehicle longitudinal activity:stop
1207,since it will try to do a left turn.,ego car driving intention:vehicle lateral activity:turning
714,Traffic ahead of the car has begun to accelerate and move through the intersection.,interaction with other road users:traffic:accelerating
434,The car is approaching an intersection and is merging into a left hand turn lane.,ego car driving intention:vehicle longitudinal activity:merging
1862,since it's trying to park there.,ego car driving intention:vehicle longitudinal activity:park
1999,because the light turned yellow and then red.,traffic conditions:traffic light:red light
644,as it approaches stopped traffic ahead of it.,interaction with other road users:traffic:stop
352,for a red light up ahead.,traffic conditions:traffic light:red light
1658,because there are police cars with lights on on both sides of the road.,unclassified
1327,because it is turning right.,ego car driving intention:vehicle lateral activity:turning
1490,since the street is clear.,road condition:availability:clear road
1268,The light has changed and the car is moving through the intersection,ego car driving intention:vehicle longitudinal activity:driving forward
1883,Vehicles ahead of the car are travelling slowly through the intersection ahead.,interaction with other road users:lead vehicle:moving forward:slowly
1752,as the road continues on forward.,ego car driving intention:vehicle longitudinal activity:driving forward
986,after the pedestrians have cleared the road.,interaction with other road users:pedestrians:crossing
986,after the pedestrians have cleared the road.,interaction with other road users:pedestrians:crossing
1872,as it moves to the side of the road,unclassified
407,The car has completed its U-turn and is driving forward in the middle lane of the street,ego car driving intention:vehicle lateral activity:turning&ego car driving intention:vehicle longitudinal activity:driving forward
1066,The car has arrived at the intersection controlled by a red light.,traffic conditions:traffic light:red light
1251,The car has passed through the intersection and is travelling forward and negotiating a slight left curve in the road.,ego car driving intention:vehicle longitudinal activity:passing
1084,because there are no pedestrians crossing.,road condition:availability:clear road
1157,as traffic in front of it moves forward.,interaction with other road users:traffic:moving forward:normally
1887,The car has arrived at the intersection and the light controlling the intersection is red and pedestrians are transiting the crosswalk,traffic conditions:traffic light:red light&interaction with other road users:pedestrians:crossing
1887,The car has arrived at the intersection and the light controlling the intersection is red and pedestrians are transiting the crosswalk,traffic conditions:traffic light:red light&interaction with other road users:pedestrians:crossing
563,The car has stopped at the intersection.,ego car driving intention:vehicle longitudinal activity:stop
609,because there is a taxi also switching lanes ahead as well as a red light.,traffic conditions:traffic light:red light
2,since the light is red and there are people crossing the road.,traffic conditions:traffic light:red light&interaction with other road users:pedestrians:crossing
2,since the light is red and there are people crossing the road.,traffic conditions:traffic light:red light&interaction with other road users:pedestrians:crossing
1760,since the light is red and there are pedestrians crossing.,traffic conditions:traffic light:red light&interaction with other road users:pedestrians:crossing
1760,since the light is red and there are pedestrians crossing.,traffic conditions:traffic light:red light&interaction with other road users:pedestrians:crossing
1602,The car is travelling through the intersection after the light has turned green.,traffic conditions:traffic light:green light
1229,because the road is clear and it is now on the right road.,road condition:availability:clear road
228,The car is proceeding forward on the roadway.,ego car driving intention:vehicle longitudinal activity:driving forward
1941,because the light is green.,traffic conditions:traffic light:green light
129,since it slowed down to do so.,ego car driving intention:vehicle lateral activity:decelerating
1411,since it is approaching traffic stopped at a red light.,traffic conditions:traffic light:red light
276,The car has arrived at the intersection and the light is red.,traffic conditions:traffic light:red light
123,since there is traffic.,interaction with other road users:lead vehicle:moving forward:normally
233,because the left lane is quick.,interaction with other road users:traffic:moving forward:fast
298,"A vehicle to the right is drifting into the lane ahead of the car, forcing it to slow.",unclassified
61,The car has completed its lane change maneuver,ego car driving intention:vehicle lateral activity:changing lane
372,because there are no other cars on the road.,road condition:availability:clear road
389,because it is parked.,ego car driving intention:vehicle longitudinal activity:park
2099,to enter the lane to its left and move around the traffic in front of it.,ego car driving intention:vehicle lateral activity:enter another road
1692,since the road curves that way.,unclassified
530,The car is parked along the roadway.,ego car driving intention:vehicle longitudinal activity:park
107,as traffic in front of it moves forward.,interaction with other road users:traffic:moving forward:normally
1407,The light controlling the intersection has turned green but the car is not proceeding,traffic conditions:traffic light:green light
854,since the car will stop.,ego car driving intention:vehicle longitudinal activity:stop
1504,The car has parked.,ego car driving intention:vehicle longitudinal activity:park
596,because the lights are green and the left lane is clear.,traffic conditions:traffic light:green light&road condition:availability:clear road
596,because the lights are green and the left lane is clear.,traffic conditions:traffic light:green light&road condition:availability:clear road
1004,The car is parked.,ego car driving intention:vehicle longitudinal activity:park
558,The car is driving forward on the roadway,ego car driving intention:vehicle longitudinal activity:driving forward
775,because the driver apparently hit the gas instead of the break.,ego car driving intention:vehicle lateral activity:accelerating
417,because there is no nearby traffic in that lane.,road condition:availability:clear road
1021,due to the light being red.,traffic conditions:traffic light:red light
667,since it is green ahead.,traffic conditions:traffic light:green light
1249,The car is driving through an intersection and keeping up with the flow of traffic,unclassified
409,as the vehicle in front of it accelerates.,interaction with other road users:lead vehicle:accelerating
371,after the light turned green and cross traffic clears from the intersection.,traffic conditions:traffic light:green light
371,after the light turned green and cross traffic clears from the intersection.,traffic conditions:traffic light:green light
2089,to move onto the right shoulder of the road.,unclassified
1737,because traffic is flowing.,interaction with other road users:traffic:moving forward:normally
1982,because that lane has no nearby traffic.,road condition:availability:clear road
263,because traffic is moving at a steady speed.,interaction with other road users:traffic:moving forward:normally
539,Traffic ahead of the car in the roadway is stopped.,interaction with other road users:traffic:stop
465,since the pedestrian is crossing the road.,interaction with other road users:pedestrians:crossing
128,since it's about to turn right.,ego car driving intention:vehicle lateral activity:turning
668,since it's trying to run right.,ego car driving intention:vehicle lateral activity:turning
1187,"Another vehicle is merging ahead of the car, causing it to slow slightly",unclassified
1275,because the way is clear.,road condition:availability:clear road
1763,because the car in front is stopped.,interaction with other road users:lead vehicle:stop
1824,The car is changing lanes to avoid slow traffic ahead.,ego car driving intention:vehicle lateral activity:changing lane&interaction with other road users:traffic:moving forward:slowly
127,because it is on the road.,unclassified
1848,because traffic is moving at a steady pace.,interaction with other road users:traffic:moving forward:normally
529,because the light is red.,traffic conditions:traffic light:red light
964,because there are cars nearby.,unclassified
85,because there are no nearby cars in front of it.,road condition:availability:clear road
1909,because it is blocked in by traffic.,interaction with other road users:traffic:stop
1093,because it's making a left turn.,ego car driving intention:vehicle lateral activity:turning
1601,The car is stopped at an intersection controlled by a red light,traffic conditions:traffic light:red light
189,while it waits for vehicles to move after the light turned green.,traffic conditions:traffic light:green light
1465,since there no way to move faster ahead.,unclassified
1226,since the car is moving quicker.,interaction with other road users:traffic:moving forward:fast
1648,as it approaches an intersection.,unclassified
492,since that lane to the left is moving faster.,unclassified
576,The car is attempting to maneuver around a vehicle stopped in the roadway ahead attempting to make a left hand turn through an intersection,ego car driving intention:vehicle lateral activity:turning
1957,because traffic is moving at a steady speed.,interaction with other road users:traffic:moving forward:normally
843,because it's at the curb,unclassified
441,because it's turning into the left lane.,ego car driving intention:vehicle lateral activity:turning
1903,because the light is green.,traffic conditions:traffic light:green light
1363,so that it may enter another road.,ego car driving intention:vehicle lateral activity:enter another road
1579,because the light is green and it is raining.,environment:weather:rain
124,The car is travelling down the right hand lane.,ego car driving intention:vehicle longitudinal activity:driving forward
1814,since it will try to eventually turn right.,ego car driving intention:vehicle lateral activity:turning
131,since it came near a stop sign.,traffic conditions:traffic sign:stop sign
23,because traffic is moving slowly.,interaction with other road users:traffic:moving forward:slowly
1813,The light controlling the intersection is red.,traffic conditions:traffic light:red light
338,because traffic in front of it is stopped.,interaction with other road users:traffic:stop
1461,for the speed bumps.,road condition:speed regulations:speed bump
598,because there are cars stopped in the right lane.,interaction with other road users:traffic:stop
744,because there is no traffic in that lane.,road condition:availability:clear road
1410,because the road is clear and traffic is moving normally.,road condition:availability:clear road&interaction with other road users:traffic:moving forward:normally
702,The car is stopped in the left hand turn lane at an intersection.,ego car driving intention:vehicle lateral activity:turning
836,because the stoplight has not changed,traffic conditions:traffic light:red light
